timestamp,drone_id,channel,bs_id_selected,snr_bs1,snr_bs2,snr_bs3,snr_bs4,data_total_mb,data_downloaded_mb,data_remaining_mb,throughput_mbps,latency_ms,rtt_ms,delay_ms,distance_to_selected_bs_m,downloading_enabled,waypoint_index,num_waypoints,lat,lon,alt,elapsed_time_s
2025-12-03T21:52:08.118735,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.3710937499999996,19998.62890625,0.498,0.037,0.037,0.037,45.4431179076768,1,0,0,35.7271223,-78.6962747,-0.017,0.0
2025-12-03T21:52:09.123428,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.4304687499999995,19998.56953125,0.498,0.049,0.049,0.049,45.4431179076768,1,0,0,35.7271223,-78.6962747,-0.017,0.0
2025-12-03T21:52:10.127688,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.4912109374999996,19998.5087890625,0.51,0.051,0.051,0.051,45.4431179076768,1,0,0,35.7271223,-78.6962747,-0.017,0.0
2025-12-03T21:52:11.131670,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.5505859374999995,19998.4494140625,0.498,0.052,0.052,0.052,45.4431179076768,1,0,0,35.7271223,-78.6962747,-0.017,0.0
2025-12-03T21:52:12.135253,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.6099609374999995,19998.3900390625,0.498,0.058,0.058,0.058,45.4431179076768,1,0,0,35.7271223,-78.6962747,-0.017,0.0
2025-12-03T21:52:13.139107,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.6693359374999994,19998.3306640625,0.498,0.046,0.046,0.046,45.4431179076768,1,0,0,35.7271223,-78.6962747,-0.017,0.0
2025-12-03T21:52:14.142736,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.7287109374999994,19998.2712890625,0.498,0.052,0.052,0.052,45.4431179076768,1,0,0,35.7271223,-78.6962747,-0.017,0.0
2025-12-03T21:52:15.147455,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.7880859374999993,19998.2119140625,0.498,0.053,0.053,0.053,45.4431179076768,1,0,0,35.7271223,-78.6962747,0.002,0.0
2025-12-03T21:52:16.152099,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.8488281249999994,19998.151171875,0.51,0.045,0.045,0.045,45.4431179076768,1,0,0,35.7271223,-78.6962747,0.002,0.0
2025-12-03T21:52:17.156995,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.9082031249999993,19998.091796875,0.498,0.046,0.046,0.046,45.4431179076768,1,0,0,35.7271223,-78.6962747,0.002,0.0
2025-12-03T21:52:18.161391,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,1.9675781249999993,19998.032421875,0.498,0.056,0.056,0.056,45.4431179076768,1,0,0,35.7271223,-78.6962747,0.002,0.0
2025-12-03T21:52:19.165593,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.0269531249999995,19997.973046875,0.498,0.047,0.047,0.047,45.4431179076768,1,0,0,35.7271223,-78.6962747,0.002,0.0
